codigo,nome_decomp,nome_completo,posto,submercado,empresa,arquivo_fonte,tipo,notas
1,CAMARGOS,,,,,UH,usina,
2,ITUTINGA,,,,,UH,usina,
4,FUNIL-GRANDE,,,,,UH,usina,
6,FURNAS,,,,,UH,usina,
7,M. DE MORAES,,,,,UH,usina,
8,ESTREITO,,,,,UH,usina,
9,JAGUARA,,,,,UH,usina,
10,IGARAPAVA,,,,,UH,usina,
11,VOLTA GRANDE,,,,,UH,usina,
12,P. COLOMBIA,,,,,UH,usina,
14,CACONDE,,,,,UH,usina,
15,E. DA CUNHA,,,,,UH,usina,
16,A.S.OLIVEIRA,,,,,UH,usina,
17,MARIMBONDO,,,,,UH,usina,
18,A. VERMELHA,,,,,UH,usina,
20,BATALHA,,,,,UH,usina,
21,SERRA FACAO,,,,,UH,usina,
24,EMBORCACAO,,,,,UH,usina,
25,NOVA PONTE,,,,,UH,usina,
26,MIRANDA,,,,,UH,usina,
27,CAPIM BRANC1,,,,,UH,usina,
28,CAPIM BRANC2,,,,,UH,usina,
29,CORUMBA IV,,,,,UH,usina,
30,CORUMBA I,,,,,UH,usina,
31,ITUMBIARA,,,,,UH,usina,
32,CACH.DOURADA,,,,,UH,usina,
33,SAO SIMAO,,,,,UH,usina,
34,I. SOLTEIRA,,,,,UH,usina,
37,BARRA BONITA,,,,,UH,usina,
38,A.S. LIMA,,,,,UH,usina,
39,IBITINGA,,,,,UH,usina,
40,PROMISSAO,,,,,UH,usina,
42,NAVANHANDAVA,,,,,UH,usina,
43,TRES IRMAOS,,,,,UH,usina,
45,JUPIA,,,,,UH,usina,
46,P. PRIMAVERA,,,,,UH,usina,
47,A.A. LAYDNER,,,,,UH,usina,
48,PIRAJU,,,,,UH,usina,
49,CHAVANTES,,,,,UH,usina,
50,L.N. GARCEZ,,,,,UH,usina,
51,CANOAS II,,,,,UH,usina,
52,CANOAS I,,,,,UH,usina,
53,PARANAPANEMA,,,,,UH,usina,
57,MAUA,,,,,UH,usina,
61,CAPIVARA,,,,,UH,usina,
62,TAQUARUCU,,,,,UH,usina,
63,ROSANA,,,,,UH,usina,
66,ITAIPU,,,,,UH,usina,
71,STA CLARA PR,,,,,UH,usina,
72,FUNDAO,,,,,UH,usina,
73,JORDAO,,,,,UH,usina,
74,G.B. MUNHOZ,,,,,UH,usina,
76,SEGREDO,,,,,UH,usina,
77,SLT.SANTIAGO,,,,,UH,usina,
78,SALTO OSORIO,,,,,UH,usina,
82,SALTO CAXIAS,,,,,UH,usina,
83,BAIXO IGUACU,,,,,UH,usina,
86,BARRA GRANDE,,,,,UH,usina,
88,SAO ROQUE,,,,,UH,usina,
89,GARIBALDI,,,,,UH,usina,
90,CAMPOS NOVOS,,,,,UH,usina,
91,MACHADINHO,,,,,UH,usina,
92,ITA,,,,,UH,usina,
93,PASSO FUNDO,,,,,UH,usina,
94,MONJOLINHO,,,,,UH,usina,
95,QUEBRA QUEIX,,,,,UH,usina,
97,CASTRO ALVES,,,,,UH,usina,
98,MONTE CLARO,,,,,UH,usina,
99,14 DE JULHO,,,,,UH,usina,
101,SAO JOSE,,,,,UH,usina,
102,PASSO S JOAO,,,,,UH,usina,
103,FOZ CHAPECO,,,,,UH,usina,
107,EDGARD SOUZA,,,,,UH,usina,
108,TRAICAO,,,,,UH,usina,
109,PEDREIRA,,,,,UH,usina,
110,ERNESTINA,,,,,UH,usina,
111,PASSO REAL,,,,,UH,usina,
112,JACUI,,,,,UH,usina,
113,ITAUBA,,,,,UH,usina,
114,D. FRANCISCA,,,,,UH,usina,
115,G.P. SOUZA,,,,,UH,usina,
117,GUARAPIRANGA,,,,,UH,usina,
118,BILLINGS,,,,,UH,usina,
119,HENRY BORDEN,,,,,UH,usina,
120,JAGUARI,,,,,UH,usina,
121,PARAIBUNA,,,,,UH,usina,
122,SANTA BRANCA,,,,,UH,usina,
123,FUNIL,,,,,UH,usina,
124,LAJES,,,,,UH,usina,
125,STA CECILIA,,,,,UH,usina,
126,PICADA,,,,,UH,usina,
127,SOBRAGI,,,,,UH,usina,
129,SIMPLICIO,,,,,UH,usina,
130,ILHA POMBOS,,,,,UH,usina,
131,NILO PECANHA,,,,,UH,usina,
133,P. PASSOS,,,,,UH,usina,
134,SALTO GRANDE,,,,,UH,usina,
135,P. ESTRELA,,,,,UH,usina,
139,CANDONGA,,,,,UH,usina,
141,BAGUARI,,,,,UH,usina,
143,AIMORES,,,,,UH,usina,
144,MASCARENHAS,,,,,UH,usina,
145,SUICA,,,,,UH,usina,
146,FONTES C,,,,,UH,usina,
147,FONTES AB,,,,,UH,usina,
148,IRAPE,,,,,UH,usina,
153,SAO DOMINGOS,,,,,UH,usina,
154,ITAPEBI,,,,,UH,usina,
155,RETIRO BAIXO,,,,,UH,usina,
156,TRES MARIAS,,,,,UH,usina,
162,QUEIMADO,,,,,UH,usina,
169,SOBRADINHO,,,,,UH,usina,
172,ITAPARICA,,,,,UH,usina,
173,MOXOTO,,,,,UH,usina,
174,P.AFONSO 123,,,,,UH,usina,
175,P.AFONSO 4,,,,,UH,usina,
178,XINGO,,,,,UH,usina,
180,TOCOS,,,,,UH,usina,
181,SANTANA,,,,,UH,usina,
182,VIGARIO,,,,,UH,usina,
185,BARRA BRAUNA,,,,,UH,usina,
189,P. CAVALO,,,,,UH,usina,
190,B. ESPERANCA,,,,,UH,usina,
192,GUILMAN-AMOR,,,,,UH,usina,
193,SA CARVALHO,,,,,UH,usina,
195,JAURU,,,,,UH,usina,
196,GUAPORE,,,,,UH,usina,
203,CORUMBA III,,,,,UH,usina,
204,CACH.CALDEIR,,,,,UH,usina,
215,SALTO PILAO,,,,,UH,usina,
217,ROSAL,,,,,UH,usina,
225,SLT APIACAS,,,,,UH,usina,
227,SINOP,,,,,UH,usina,
228,COLIDER,,,,,UH,usina,
229,TELES PIRES,,,,,UH,usina,
230,SAO MANOEL,,,,,UH,usina,
241,SLT VERDINHO,,,,,UH,usina,
249,OURINHOS,,,,,UH,usina,
251,SERRA MESA,,,,,UH,usina,
252,CANA BRAVA,,,,,UH,usina,
253,SAO SALVADOR,,,,,UH,usina,
257,PEIXE ANGIC,,,,,UH,usina,
260,ESTRELA,,,,,UH,usina,
261,LAJEADO,,,,,UH,usina,
262,SALTO,,,,,UH,usina,
267,ESTREITO TOC,,,,,UH,usina,
272,CURUA-UNA,,,,,UH,usina,
275,TUCURUI,,,,,UH,usina,
276,RONDON II,,,,,UH,usina,
277,BALBINA,,,,,UH,usina,
278,MANSO,,,,,UH,usina,
279,SAMUEL,,,,,UH,usina,
280,COARACY NUNE,,,,,UH,usina,
281,PONTE PEDRA,,,,,UH,usina,
283,STA CLARA MG,,,,,UH,usina,
284,FERREIRA GOM,,,,,UH,usina,
285,JIRAU,,,,,UH,usina,
286,STO ANT JARI,,,,,UH,usina,
287,STO ANTONIO,,,,,UH,usina,
288,BELO MONTE,,,,,UH,usina,
290,ESPORA,,,,,UH,usina,
304,ITIQUIRA I,,,,,UH,usina,
305,ITIQUIRA II,,,,,UH,usina,
309,JURUENA,,,,,UH,usina,
310,DARDANELOS,,,,,UH,usina,
311,CACU,,,,,UH,usina,
312,B. COQUEIROS,,,,,UH,usina,
314,PIMENTAL,,,,,UH,usina,
315,FOZ R. CLARO,,,,,UH,usina,
