codigo,nome_arquivo,nome_completo,arquivo_fonte,tipo
1,ANGRA 1,ANGRA 1,EXPT,usina
4,ST.CRUZ 34,ST.CRUZ 34,EXPT,usina
12,CUIABA G CC,CUIABA G CC,EXPT,usina
13,ANGRA 2,ANGRA 2,EXPT,usina
21,MARANHAO V,MARANHAO V,EXPT,usina
24,J.LACERDA C,J.LACERDA C,EXPT,usina
25,J.LACERDA B,J.LACERDA B,EXPT,usina
26,J.LACERDA A1,J.LACERDA A1,EXPT,usina
27,J.LACERDA A2,J.LACERDA A2,EXPT,usina
35,URUGUAIANA,URUGUAIANA,EXPT,usina
36,MARANHAO IV,MARANHAO IV,EXPT,usina
43,TERMOBAHIA,TERMOBAHIA,EXPT,usina
46,N.VENECIA 2,N.VENECIA 2,EXPT,usina
47,TERMORIO,TERMORIO,EXPT,usina
48,ARAUCARIA,ARAUCARIA,EXPT,usina
49,VIANA,VIANA,EXPT,usina
52,CAMPINA GDE,CAMPINA GDE,EXPT,usina
53,GLOBAL I,GLOBAL I,EXPT,usina
54,JUIZ DE FORA,JUIZ DE FORA,EXPT,usina
55,GLOBAL II,GLOBAL II,EXPT,usina
57,MARACANAU I,MARACANAU I,EXPT,usina
58,TERMOCEARA,TERMOCEARA,EXPT,usina
60,NORTEFLU,NORTEFLU,EXPT,usina
62,SEROPEDICA,SEROPEDICA,EXPT,usina
63,IBIRITE,IBIRITE,EXPT,usina
64,CANOAS,CANOAS,EXPT,usina
65,DO ATLAN_CSA,DO ATLAN_CSA,EXPT,usina
67,TERMONE,TERMONE,EXPT,usina
68,TRES LAGOAS,TRES LAGOAS,EXPT,usina
69,TERMOPB,TERMOPB,EXPT,usina
70,GERAMAR II,GERAMAR II,EXPT,usina
73,GERAMAR I,GERAMAR I,EXPT,usina
83,VALE DO ACU,VALE DO ACU,EXPT,usina
86,ST.CRUZ NOVA,ST.CRUZ NOVA,EXPT,usina
90,TERMOMACAE,TERMOMACAE,EXPT,usina
96,TERMOPE,TERMOPE,EXPT,usina
97,CUBATAO,CUBATAO,EXPT,usina
98,PERNAMBU_III,PERNAMBU_III,EXPT,usina
106,ERB CANDEIAS,ERB CANDEIAS,EXPT,usina
107,PAMPA SUL,PAMPA SUL,EXPT,usina
108,XAVANTES,XAVANTES,EXPT,usina
110,N.PIRATINING,N.PIRATINING,EXPT,usina
116,PARNAIBA IV,PARNAIBA IV,EXPT,usina
137,GNA I,GNA I,EXPT,usina
140,MAUA 3,MAUA 3,EXPT,usina
144,PETROLINA,PETROLINA,EXPT,usina
146,STA VITORIA,STA VITORIA,EXPT,usina
147,PROSPERIDADE,PROSPERIDADE,EXPT,usina
149,SAO SEPE,SAO SEPE,EXPT,usina
151,POTIGUAR,POTIGUAR,EXPT,usina
152,TERMOCABO,TERMOCABO,EXPT,usina
153,DAIA,DAIA,EXPT,usina
156,CANDIOTA 3,CANDIOTA 3,EXPT,usina
161,POTIGUAR III,POTIGUAR III,EXPT,usina
162,PECEM II,PECEM II,EXPT,usina
163,P. PECEM II,P. PECEM II,EXPT,usina
167,P. PECEM I,P. PECEM I,EXPT,usina
170,SUAPE II,SUAPE II,EXPT,usina
176,PORTO ITAQUI,PORTO ITAQUI,EXPT,usina
182,PALMEIRAS GO,PALMEIRAS GO,EXPT,usina
183,DO_ATLANTICO,DO_ATLANTICO,EXPT,usina
194,T. NORTE 2,T. NORTE 2,EXPT,usina
201,APARECIDA,APARECIDA,EXPT,usina
203,PORAQUE,PORAQUE,EXPT,usina
204,JARAQUI,JARAQUI,EXPT,usina
205,PIRARUCU,PIRARUCU,EXPT,usina
207,TUCUNARE,TUCUNARE,EXPT,usina
209,TAMBAQUI,TAMBAQUI,EXPT,usina
211,BAIXADA FLU,BAIXADA FLU,EXPT,usina
212,MARANHAO III,MARANHAO III,EXPT,usina
223,PROSPERI III,PROSPERI III,EXPT,usina
224,P. SERGIPE I,P. SERGIPE I,EXPT,usina
229,ONCA PINTADA,ONCA PINTADA,EXPT,usina
235,CAMACARI MII,CAMACARI MII,EXPT,usina
236,MARLIM AZUL,MARLIM AZUL,EXPT,usina
237,CAMBARA,CAMBARA,EXPT,usina
238,GNA II,GNA II,EXPT,usina
239,PARNAIBA V,PARNAIBA V,EXPT,usina
240,NT BARCARENA,NT BARCARENA,EXPT,usina
241,PROSPERID II,PROSPERID II,EXPT,usina
245,KARKEY 013,KARKEY 013,EXPT,usina
246,KARKEY 019,KARKEY 019,EXPT,usina
247,LINHARES PCS,LINHARES PCS,EXPT,usina
248,PAULINIA VER,PAULINIA VER,EXPT,usina
249,PORSUD I,PORSUD I,EXPT,usina
250,PORSUD II,PORSUD II,EXPT,usina
251,POVOACAO 1,POVOACAO 1,EXPT,usina
253,VIANA 1,VIANA 1,EXPT,usina
254,B. BONITA I,B. BONITA I,EXPT,usina
257,LINHARES LRC,LINHARES LRC,EXPT,usina
258,TROMBUDO,TROMBUDO,EXPT,usina
259,PORTOCEM I,PORTOCEM I,EXPT,usina
260,AZULAO,AZULAO,EXPT,usina
262,AZULAO II,AZULAO II,EXPT,usina
263,AZULAO IV,AZULAO IV,EXPT,usina
264,MANAUS I,MANAUS I,EXPT,usina
322,BBF BALIZA,BBF BALIZA,EXPT,usina
323,BONFIM,BONFIM,EXPT,usina
324,CANTA,CANTA,EXPT,usina
326,JAGUATIRI II,JAGUATIRI II,EXPT,usina
327,M.CRISTO SUC,M.CRISTO SUC,EXPT,usina
328,PALMAPLAN 2,PALMAPLAN 2,EXPT,usina
329,PAU RAINHA,PAU RAINHA,EXPT,usina
330,SANTA LUZ,SANTA LUZ,EXPT,usina
334,W. ARJONA,W. ARJONA,EXPT,usina
415,LORM_MCH,LORM_MCH,EXPT,usina
451,POVOACAO_MCH,POVOACAO_MCH,EXPT,usina
